Column1,Column3,Column4,Column6,Column7
youtube_url,cat,title,badge,Priority
https://youtu.be/DTece7Bf3y8,Communication Campaign,[SRadio] Sản Phẩm Tết 2023 - Tết Tròn Tết Vuông,,
https://youtu.be/QX1FstV1GPY,Communication Campaign,[SRadio] Dự án Thương hiệu 2023 - Hoa Niên Liên Khấu - Teaser,,
https://youtu.be/OEbzDYj6SGk,Communication Campaign,[SRadio] Dự án Thương hiệu 2023 - Hoa Niên Liên Khấu - Recap,,4
https://youtu.be/MRz5gYAfx0A,Communication Campaign,[SRadio] Tìm Kiếm Cộng Tác Viên - Podcast,,
https://youtu.be/-W4JPxeYuNE,Communication Campaign,[LOM] Yearly Music Show 2025 - 1011MHz - Insight,,
https://youtu.be/JTaEF48J9gY,"Competition, TVC",Young Lion TVC Participation 2022,,
https://youtu.be/Nr8vCC5JWCQ,"Competition, TVC",Business Challenge 2024 - TVC - ARISAQUA,Top 1 · 2024,2
https://youtu.be/jzCHLv6p8v0,"Competition, TVC",Young Lion TVC Participation 2023,,
https://youtu.be/6fZb1WFmKSs,Event,[SRadio] Intro for SRadio Birthday 2022,,
https://youtu.be/JYKFtF7afi0,Event,[LOM] ISB Orientation Day 2022 Recap,,
https://youtu.be/TiNSxvp-dA8,Event,[LOM] Recruitement 2023 - Trigger for Teamwork round,,
https://youtu.be/xp9RsUUwFbs,Event,[LOM] Rhythm Workshop Recap,,
https://youtu.be/BWeBzuIDSRk,Explainer,[Mona Media] Shadow Funnel  - Bán hàng tự động,,
https://youtu.be/3xfFHWMzung,Explainer,[Mona Media] Explainer trên Ipad,,
https://youtu.be/jg-vycQAOIE,Music Video,[ISB] Theme Song 2023 - ISBe Yourself,,3
https://youtu.be/X0R0k4jnAkw,Music Video,"[VISUALIZER/LYRICS VIDEO] Hoàng Thùy Linh, Đen - Miền Đất Hứa (stillsi. remix)",,6
https://youtu.be/U9bid1AHQaU,Music Video,[LOM] Chìm Show (Remake by LOM),,
https://youtu.be/aS0Z0w9XWyg,Music Video,[LOM] Until I found you (Remake by LOM),,
https://youtu.be/H-hRNQuvgKs,TVC,[ISB] Project TVC I,,
https://youtu.be/tA-kRl8vCwo,TVC,[ISB] Project TVC II,,
https://youtu.be/dtBw9qzY02s,TVC,[ISB] Project TVC III,,
https://youtu.be/XCxPeS1HceY,TVC,[ISB] Project TVC IV,,
https://youtube.com/shorts/YQxly3RNvck,Reels,[SRadio] Reels 1,,
https://youtube.com/shorts/KibknqjTRSg,Reels,[SRadio] Reels 2,,
https://youtube.com/shorts/4CKrgy6ArwE,Reels,[LOM] Duet Challenge,,
https://youtube.com/shorts/81osIRiu5yA,Reels,[SRadio] Reels 3,,
https://youtube.com/shorts/e02CAQ3S2r4,Reels,[SRadio] Reels 4,,
https://youtube.com/shorts/c4Liw5CrcJo,Reels,[SRadio] Reels 5,,
https://youtu.be/0HXLuL7nbKc,"Competition, TVC",Business Challenge 2023 - TVC - MR. BROWN,Top 1 · 2023,1
https://youtu.be/X3MfrXeryVk,Music Video,[ISB] Theme Song 2022 - We Are The Future,,
https://youtu.be/IKPXjum0T54,Communication Campaign,[SRadio] Social Post - Podcast,,
https://youtu.be/xfQZ9phraEs,Explainer,[terra] Hướng dẫn nộp Báo cáo lao động,,
https://youtu.be/tUT2GXCuA8w,Explainer,[terra] CS Support with System,,
https://youtu.be/H90Xh4iIL3E,TVC,[terra] Labor Report Course,,
https://youtube.com/shorts/KOyE_1iteRg?feature=share,Reels,[terra] Reels - Giảm bớt công tác lập báo cáo lao động cuối năm cho HR,,
https://youtube.com/shorts/YhC8UyHONow,Reels,[terra] Reels - Tại sao doanh nghiệp nên sử dụng dịch vụ báo cáo lao động,,
https://youtube.com/shorts/pufHm0nSpUM?feature=share,Reels,[terra] Reels - 1,,
https://youtube.com/shorts/DqDP5OgD_mA,Reels,[terra] Reels - 2,,
https://youtube.com/shorts/thjQFT3E0gY,Reels,[terra] Reels - 3,,
https://youtube.com/shorts/08Gda8NMtwU,Reels,[terra] Reels - 4,,
https://youtube.com/shorts/eyQwwz9DEt8,Reels,[terra] Reels - 5,,
https://youtube.com/shorts/mGuokmBQNRQ,Reels,[terra] Reels - 6,,
https://youtube.com/shorts/K89Ty9_t6q0,Reels,[terra] Reels - 7,,
https://youtube.com/shorts/sjlbdZN1WWE,Reels,[terra] Reels - 8,,
https://www.youtube.com/watch?v=1cJGz4wwduA&t=2s,"Competition, TVC",LET'S ON AIR 2023 | SỐNG THAY - XÔ BỒ,,5
https://youtu.be/aZWCjNHix7c,Music Video,[LOM] 7 Years Remake by LOM,,
https://youtu.be/cs5HPGoBKmY,Event,[LOM] LOM INTRODUCTION 2023,,
